Sensor,s_0
1534373822,-6
1534375345,-1
1534375859,0
1534376359,-1
1534376869,-1
1534377518,-4
1534376430,-3
1534377034,-2
1534377582,0
1534374475,-1
1534374991,1
1534375627,0
1534376130,-2
1534376629,-1
1534377131,-1
1534377642,-4
1534378139,0
1534378640,-1
1534379135,-1
1534379633,0
1534380133,0
1534380654,1
1534381162,0
1534378111,-2
1534378694,-1
1534379217,-1
1534379845,0
1534380356,0
1534381033,1
1534377952,-1
1534378460,-2
1534378972,-3
1534379480,-1
1534379986,-3
1534380492,-2
1534381003,-3
1534381501,0
1534382000,1
1534382495,2
1534382998,1
1534383499,2
1534384008,2
1534384510,2
1534381427,-1
1534381940,1
1534382542,1
1534383080,1
1534383586,1
1534384212,2
1534384730,2
1534381642,-1
1534382148,0
1534382154,0
1534382159,0
1534382165,0
1534382171,0
1534382182,0
1534382187,0
1534382192,0
1534382198,0
1534382203,0
1534382215,0
1534382221,0
1534382227,0
1534382232,0
1534382238,0
1534382244,0
1534382250,0
1534382256,0
1534382262,0
1534382268,0
1534382274,0
1534382279,0
1534382285,0
1534382291,0
1534382297,0
1534382303,0
1534382308,0
1534382314,0
1534382320,0
1534382326,0
1534382332,-1
1534382338,-1
1534382344,-1
1534382350,-1
1534382355,-1
1534382360,-1
1534382366,-1
1534381648,-1
1534381653,-1
1534381659,-2
1534381664,-1
1534381670,-1
1534381676,-2
1534381681,-1
1534381687,-1
1534381693,-1
1534381698,-1
1534381704,0
1534381710,-1
1534381715,-1
1534381720,-1
1534381726,-2
1534381732,-2
1534381738,-2
1534381744,-2
1534381750,-2
1534381756,-2
1534381761,-2
1534381767,-2
1534381773,-3
1534381779,-2
1534381785,-2
1534381791,-2
1534381797,-2
1534381802,-1
1534381808,-2
1534381813,-2
1534381819,-2
1534381824,-2
1534381830,-2
1534381836,-2
1534381841,-2
1534381847,-2
1534381852,-2
1534381858,-2
1534381863,-2
1534381869,-2
1534381875,-2
1534381880,-1
1534381886,-1
1534381891,-1
1534381897,-1
1534381903,-1
1534381909,-1
1534381915,-2
1534381921,-2
1534381927,-2
1534381932,-2
1534381937,-2
1534381943,-2
1534381949,-2
1534381954,-2
1534381960,-2
1534381966,-2
1534381971,-2
1534381976,-1
1534381981,-1
1534381987,-2
1534381992,-2
1534381997,-1
1534382003,-1
1534382008,-2
1534382013,-1
1534382019,-1
1534382024,-1
1534382029,-1
1534382035,-1
1534382041,-1
1534382047,-1
1534382053,0
1534382059,-1
1534382065,-1
1534382070,0
1534382076,0
1534382087,0
1534382092,0
1534382098,-1
1534382103,0
1534382108,0
1534382113,0
1534382119,0
1534382125,0
1534382131,0
1534382137,0
1534382143,0
1534382372,-1
1534383405,0
1534383411,0
1534383417,1
1534383423,0
1534383429,0
1534383434,0
1534383440,0
1534383446,0
1534383452,1
1534383458,0
1534383464,0
1534383470,0
1534383476,-1
1534383482,1
1534383487,0
1534383493,-1
1534383499,-1
1534383505,-1
1534383511,-1
1534383517,-1
1534383522,-1
1534383528,-2
1534383533,-2
1534383538,-1
1534383544,0
1534383549,0
1534383555,0
1534383560,0
1534383566,-2
1534383571,0
1534383576,-1
1534383582,-1
1534383588,0
1534383594,0
1534383600,-1
1534383605,0
1534383610,0
1534383616,0
1534383621,0
1534383626,0
1534383632,0
1534383637,0
1534383642,0
1534383648,0
1534383653,0
1534383659,0
1534383664,0
1534383670,0
1534383676,0
1534383682,0
1534383688,0
1534383694,0
1534383699,0
1534383705,0
1534383711,0
1534383716,0
1534383721,0
1534383727,0
1534383732,0
1534383738,0
1534383744,0
1534383749,0
1534383755,0
1534383760,0
1534383766,0
1534383772,0
1534383778,0
1534383784,0
1534383790,0
1534383796,0
1534383801,0
1534383807,0
1534383812,0
1534383818,0
1534383823,0
1534383829,0
1534383836,0
1534383841,0
1534383847,0
1534383852,0
1534383858,0
1534383863,0
1534383868,0
1534383874,0
1534383879,0
1534383884,0
1534383890,-1
1534382377,-1
1534383895,-2
1534383900,0
1534383906,-1
1534383912,0
1534383917,0
1534383923,0
1534383929,1
1534383935,0
1534383941,0
1534383948,1
1534383954,1
1534383959,1
1534383965,1
1534383971,2
1534383976,2
1534383981,2
1534383986,2
1534383992,1
1534383998,2
1534384004,2
1534384009,2
1534384014,2
1534384019,2
1534384024,2
1534384029,2
1534384035,2
1534384040,2
1534384046,2
1534384052,1
1534384058,2
1534384064,2
1534384069,2
1534384075,2
1534384080,2
1534384086,1
1534384091,2
1534384096,2
1534384102,2
1534384107,2
1534384112,2
1534384118,2
1534384124,2
1534384130,2
1534384136,1
1534384142,2
1534384148,1
1534384154,1
1534384160,1
1534384166,1
1534384172,1
1534384177,1
1534384183,0
1534384188,0
1534384194,1
1534384200,1
1534384205,1
1534384211,1
1534384216,1
1534384222,0
1534384228,-1
1534384233,0
1534384238,0
1534384244,-1
1534384249,0
1534384255,0
1534384260,0
1534384265,0
1534384271,1
1534384277,0
1534384283,0
1534384288,0
1534384294,0
1534384306,-1
1534384311,0
1534384316,1
1534384322,-1
1534384327,-2
1534384333,-1
1534384338,0
1534384344,-1
1534384349,-1
1534384354,0
1534384360,0
1534384366,0
1534384372,0
1534384378,0
1534384384,8
1534384389,9
1534384394,9
1534384400,9
1534384406,9
1534384412,9
1534384418,9
1534384424,9
1534384430,9
1534384436,9
1534384442,9
1534384448,9
1534384454,9
1534384460,9
1534384466,9
1534384471,9
1534384477,9
1534384482,9
1534384488,9
1534384494,9
1534384499,9
1534384504,9
1534384510,9
1534384516,9
1534384522,9
1534384527,9
1534384532,9
1534384538,9
1534384544,8
1534384549,9
1534384554,9
1534384560,9
1534384565,9
1534384571,9
1534384576,9
1534384582,8
1534384588,9
1534384593,9
1534384598,8
1534384603,8
1534384609,9
1534384615,9
1534384620,9
1534384625,9
1534384630,9
1534384636,9
1534384642,9
1534384647,9
1534384652,9
1534384658,8
1534384664,9
1534384670,9
1534384676,9
1534384682,9
1534384688,9
1534384694,8
1534384700,8
1534384706,9
1534384712,8
1534384723,9
1534384729,9
1534384735,9
1534384741,9
1534384747,9
1534384752,9
1534384758,9
1534384764,9
1534384770,9
1534384775,9
